Measurement,Unit,Latitude,Longitude,Date,Oceans,Regions,SubRegions,Sampling Method,Density Class
0.0,pieces/m3,6.35,-121.85,2002-12-18,Pacific Ocean,,,Neuston net,Very Low
0.013,pieces/m3,0.5,-95.35,2006-10-17,Pacific Ocean,,,Manta net,Medium
1368.0,pieces/m3,0.631825,-45.398158,2018-10-17,Atlantic Ocean,,,Aluminum bucket,Very High
0.001,pieces/m3,16.623,-99.6978,2015-01-03,Pacific Ocean,,,Grab sample,Low
0.0,pieces/m3,19.77,-81.06,2007-03-15,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
8.294709,pieces/m3,31.790833,-143.96,2019-12-02,Pacific Ocean,,,Manta net,High
0.64902,pieces/m3,28.0315,-131.4227,2015-09-16,Pacific Ocean,,,Manta net,Medium
0.0,pieces/m3,29.98,-140.0,2004-08-16,Pacific Ocean,,,Neuston net,Very Low
4.532856,pieces/m3,31.99426,-135.652,2015-08-14,Pacific Ocean,,,Manta net,High
0.709184,pieces/m3,44.240431,8.469206,2018-09-11,Atlantic Ocean,Mediterranean Sea,Ligurian Sea,Manta net,Medium
0.0,pieces/m3,57.22,-136.23,2002-07-13,Pacific Ocean,,,Neuston net,Very Low
0.143,pieces/m3,29.2323,-143.8742,2010-10-23,Pacific Ocean,,,Manta net,Medium
0.0,pieces/m3,43.61,-67.0,2005-06-06,Atlantic Ocean,,,Neuston net,Very Low
0.004425,pieces/m3,58.034333,-3.627833,2019-01-18,Atlantic Ocean,North Sea,,Neuston net,Low
0.0,pieces/m3,55.997,-4.888,2018-11-13,Atlantic Ocean,Inner Seas off the West Coast of Scotland,,Neuston net,Very Low
0.0,pieces/m3,22.76,-141.69,2004-04-03,Pacific Ocean,,,Neuston net,Very Low
0.0,pieces/m3,25.35,-141.11,2009-02-17,Pacific Ocean,,,Neuston net,Very Low
0.01296,pieces/m3,40.06,-71.16,1995-07-10,Atlantic Ocean,,,Neuston net,Medium
0.0048,pieces/m3,39.84,-68.3,2001-09-06,Atlantic Ocean,,,Neuston net,Low
0.00648,pieces/m3,40.21,-68.1,1989-07-20,Atlantic Ocean,,,Neuston net,Medium
0.0,pieces/m3,37.47,-66.97,1991-10-14,Atlantic Ocean,,,Neuston net,Very Low
0.138471,pieces/m3,38.617833,-20.686667,2019-06-13,Atlantic Ocean,,,Manta net,Medium
0.009968,pieces/m3,43.11,-64.37,2001-06-09,Atlantic Ocean,,,Neuston net,Medium
0.01944,pieces/m3,31.89,-71.22,2000-04-08,Atlantic Ocean,,,Neuston net,Medium
0.047516,pieces/m3,32.14,-64.73,2000-06-07,Atlantic Ocean,,,Neuston net,Medium
0.00432,pieces/m3,32.67,-64.48,1992-05-13,Atlantic Ocean,,,Neuston net,Low
0.0,pieces/m3,39.69,-72.06,2008-09-03,Atlantic Ocean,New York Bight,,Neuston net,Very Low
0.003088,pieces/m3,41.05,-70.67,1998-06-24,Atlantic Ocean,,,Neuston net,Low
0.00216,pieces/m3,41.49,-70.9,1996-07-05,Atlantic Ocean,,,Neuston net,Low
0.5,pieces/m3,25.164051,-18.900932,2015-11-11,Atlantic Ocean,,,Intake seawater pump,Medium
2115.655853,pieces/m3,20.974583,-97.3069,2018-04-12,Atlantic Ocean,Gulf of Mexico,,PVC cylinder,Medium
0.00864,pieces/m3,24.28,-82.18,1997-01-09,Atlantic Ocean,,,Neuston net,Medium
0.01296,pieces/m3,21.84,-59.34,1998-10-31,Atlantic Ocean,,,Neuston net,Medium
0.00648,pieces/m3,20.18,-70.07,2008-04-14,Atlantic Ocean,,,Neuston net,Medium
0.0,pieces/m3,25.38,-18.59,2014-11-26,Atlantic Ocean,,,Grab sample,Very Low
0.008096,pieces/m3,15.65,-59.37,2001-11-01,Atlantic Ocean,,,Neuston net,Medium
0.0,pieces/m3,12.73,-61.7,1992-12-09,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
2115.655853,pieces/m3,26.729392,-111.906818,2018-07-11,Pacific Ocean,Gulf of California,,PVC cylinder,Medium
0.0,pieces/m3,26.42,-77.91,1993-05-06,Atlantic Ocean,,,Neuston net,Very Low
0.0,pieces/m3,27.9237,-82.4807,2016-08-09,Atlantic Ocean,Gulf of Mexico,Tampa Bay,Van Dorn sampler,Very Low
0.0,pieces/m3,12.77,-79.83,1992-03-03,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.00432,pieces/m3,11.17,-67.28,1999-12-16,Atlantic Ocean,Caribbean Sea,,Neuston net,Low
0.00216,pieces/m3,11.82,-66.38,2003-12-20,Atlantic Ocean,Caribbean Sea,,Neuston net,Low
0.0,pieces/m3,11.94,-68.26,1987-12-15,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.0,pieces/m3,15.28,-64.43,1994-12-03,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
885.0,pieces/m3,0.678683,-47.812442,2018-03-15,Atlantic Ocean,,,Aluminum bucket,Very High
0.043196,pieces/m3,17.27,-76.03,1993-02-28,Atlantic Ocean,Caribbean Sea,,Neuston net,Medium
0.0,pieces/m3,16.73,-81.21,2000-03-05,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.0,pieces/m3,16.5,-80.97,1998-02-28,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.0,pieces/m3,11.38,-63.34,1998-12-09,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.0,pieces/m3,11.22,-62.23,1996-12-17,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
3.964016,pieces/m3,32.000648,-142.5855,2015-08-11,Pacific Ocean,,,Manta net,High
5.903267,pieces/m3,34.37,-143.7072,2009-09-24,Pacific Ocean,,,Neuston net,High
0.041614,pieces/m3,55.901,-4.909167,2018-10-22,Atlantic Ocean,Inner Seas off the West Coast of Scotland,,Neuston net,Medium
2.206101,pieces/m3,30.09175,-133.8008,2015-09-14,Pacific Ocean,,,Manta net,High
10.282,pieces/m3,35.016,-141.7381,2009-08-16,Pacific Ocean,,,Manta net,Very High
0.003,pieces/m3,38.967,-140.983,1972-10-21,Pacific Ocean,,,Neuston net,Low
0.425735,pieces/m3,37.2045,-133.865,2007-09-16,Pacific Ocean,,,Neuston net,Medium
0.0,pieces/m3,23.35,-144.31,2012-01-05,Pacific Ocean,,,Neuston net,Very Low
0.002088,pieces/m3,46.29,-57.62,1989-07-25,Atlantic Ocean,,,Neuston net,Low
0.0,pieces/m3,42.58,-65.77,1992-05-19,Atlantic Ocean,,,Neuston net,Very Low
0.0,pieces/m3,42.83,-69.38,2008-07-21,Atlantic Ocean,,,Neuston net,Very Low
